followers,following,posts,accountAge,averageLikes,averageComments,engagement,profilePicture,bio,verified,label
50,2000,2,10,3,0,0.2,0,0,0,1
100,1500,4,15,5,1,0.4,0,0,0,1
80,3000,1,5,2,0,0.1,0,0,0,1
200,2500,3,20,8,1,0.5,0,1,0,1
30,1000,0,7,1,0,0.1,0,0,0,1
5000,300,150,500,400,30,8.5,1,1,0,0
10000,500,300,1000,900,80,10.2,1,1,1,0
2500,400,80,300,200,15,7.2,1,1,0,0
800,200,50,180,90,10,6.5,1,1,0,0
15000,1000,500,1500,1200,100,12.5,1,1,1,0
60,1800,3,12,4,0,0.3,0,0,0,1
120,2200,5,25,6,1,0.6,0,0,0,1
300,3500,8,40,12,1,0.8,0,1,0,1
7000,600,200,700,500,50,9.1,1,1,0,0
4000,300,120,450,350,25,8.0,1,1,0,0
90,2500,2,8,3,0,0.2,0,0,0,1
150,1800,6,30,7,1,0.7,0,0,0,1
20000,1500,800,2000,1500,150,15.0,1,1,1,0
600,100,40,120,70,8,5.5,1,1,0,0
40,1200,1,3,1,0,0.1,0,0,0,1
